item,price
ارز المهيدب بنجابي كلاسيك 10 كيلو,SR 92.95 ريال
ارز المهيدب بنجابي كلاسيك 5 كيلو,SR 52.95 ريال
ارز المهيدب بنجابي كلاسيك 2 كيلو,SR 24.95 ريال
ارز العثيم سيلا بسمتي 40ك,SR 256.20 ريال
مكرونة هالي تاقليتالي 400جرام,SR 2.37 ريال
شعيرية زدني دجاج بالبصل 70ج,SR 0.95 ريال
ارز بابكر مزة 20ك,SR 135.00 ريال
مكرونة العلالي #72 450ج,SR 4.15 ريال
مكرونة العلالي #82 450 جرام,SR 4.15 ريال
ارز ابو كاس مزة بسمتي 10 كيلو,SR 67.50 ريال
ارز الشعلان مزة كيس 40 كيلو,SR 254.00 ريال
ارز بوندي مزة هندي 10 كيلو,SR 54.95 ريال
ارز العثيم سيلا بسمتي 5 كيلو,SR 33.55 ريال
ارز العثيم سيلا بسمتي 10 كيلو,SR 65.05 ريال
مكرونة بيرفيتو #214 500 جرام,SR 4.95 ريال
مكرونة هالي البو 400جرام #105,SR 2.37 ريال
مكرونة هالي سيداني 400جرام #110,SR 2.37 ريال
مكرونة بيتوني سباغتي 4×500 جرام,SR 19.75 ريال
مكرونة الوفرة سباغتي 400جرام,SR 1.95 ريال
مكرونة قودي سباغتي 450جرام,SR 4.15 ريال
مكرونة الوفرة #27 400 جرام,SR 1.95 ريال
مكرونة بريك سباغتي 400 جرام,SR 2.63 ريال
مكرونة بيرفيتو #218 500 جرام,SR 4.95 ريال
مكرونة هالي بيني 400 جرام #103,SR 2.37 ريال
مكرونة هالي روتيلي 400جرام #112,SR 2.37 ريال
مكرونة رونزوني 454 جرام,SR 11.95 ريال
ارز هالي سيلا بسمتي 40 كيلو,SR 254.00 ريال
شعيرية زدني خضار 70ج,SR 1.00 ريال
ارز انديا جيت عنبر كلاسيك 5ك,SR 62.48 ريال
ارز صنوايت 5 كيلو,SR 29.95 ريال
مكرونة هالي سباغيتي400جرام,SR 2.37 ريال
شعرية زدني كاري دجاج 70ج,SR 1.00 ريال
مكرونة قودي #16 500 جرام,SR 4.15 ريال
مكرونة قودي 500جرام,SR 4.15 ريال
مكرونة قودي #12 500 جرام,SR 4.15 ريال
مكرونة العلالي 450 جرام,SR 4.15 ريال
مكرونة الوفرة 400 جرام,SR 1.95 ريال
مكرونة بيرفيتو #219 500 جرام,SR 4.95 ريال
مكرونة بيرفيتو #236 500 جرام,SR 4.95 ريال
مكرونة بيتوني لازانيا 500 جرام,SR 12.08 ريال
شعيرية اندومي دجاج خاصة 60×75ج,SR 64.05 ريال
شعيرية العلالي مقطع #55 450جرام,SR 4.15 ريال
ارز هالى برمل زكاة فطر 3ك,SR 10.45 ريال
مكرونة العلالي 450جرام,SR 4.15 ريال
مكرونة الوفرة 400 جرام,SR 1.95 ريال
مكرونة الوفرة #10 400 جرام,SR 1.95 ريال
مكرونة قودي #50 500 جرام,SR 4.15 ريال
مكرونة بيرفيتو #212 500 جرام,SR 4.95 ريال
ارز باب القصر بسمتي ابيض 10ك,SR 59.80 ريال
ارز ابو بنت ذهبي 10ك,SR 51.95 ريال
مكرونة العلالي 450 جرام,SR 4.15 ريال
مكرونة العلالي 450جرام,SR 4.15 ريال
مكرونة العلالي 450جرام,SR 4.15 ريال
مكرونة العلالي # 99 450جرام,SR 4.15 ريال
مكرونة دافينشي لازانيا 454جرام,SR 14.65 ريال
مكرونة الوفرة #31 400 جرام,SR 1.95 ريال
مكرونة الوفرة #18 400 جرام,SR 1.95 ريال
مكرونة الوفرة 400 جرام,SR 1.95 ريال
ارز هالي سيلا بسمتي 5 كيلو,SR 32.50 ريال
ارز صنوايت 1 كيلو,SR 8.50 ريال
مكرونة بيرفيتو #216 500 جرام,SR 4.95 ريال
مكرونة هالي البو كبير400جرام #106,SR 2.37 ريال
مكرونة بيتوني سباغتي #72 500 جرام,SR 6.95 ريال
